Player,Nation,Pos,Age,MP,Min,Gls,Ast,G+A,PK
David de Gea,es ESP,GK,23.0,37,3313.0,0.0,0.0,0.0,0.0
Wayne Rooney,eng ENG,"FW,MF",28.0,33,2873.0,12.0,5.0,17.0,1.0
Antonio Valencia,ec ECU,"DF,MF",28.0,32,2580.0,0.0,3.0,3.0,0.0
Juan Mata,es ESP,"FW,MF",26.0,33,2303.0,9.0,4.0,13.0,1.0
Daley Blind,nl NED,"DF,MF",24.0,25,2169.0,2.0,2.0,4.0,0.0
Robin van Persie,nl NED,FW,30.0,27,2108.0,10.0,2.0,12.0,1.0
Ashley Young,eng ENG,"DF,FW",29.0,26,2065.0,2.0,5.0,7.0,0.0
Phil Jones,eng ENG,"DF,MF",22.0,22,1876.0,0.0,0.0,0.0,0.0
Chris Smalling,eng ENG,DF,24.0,25,1879.0,4.0,0.0,4.0,0.0
Marcos Rojo,ar ARG,DF,24.0,22,1762.0,0.0,0.0,0.0,0.0
Ángel Di María,ar ARG,"FW,MF",26.0,27,1639.0,3.0,10.0,13.0,0.0
Ander Herrera,es ESP,MF,24.0,26,1870.0,6.0,4.0,10.0,0.0
Marouane Fellaini,be BEL,MF,26.0,27,1831.0,6.0,0.0,6.0,0.0
Michael Carrick,eng ENG,MF,33.0,18,1457.0,1.0,2.0,3.0,0.0
Luke Shaw,eng ENG,"DF,MF",19.0,16,1121.0,0.0,0.0,0.0,0.0
Radamel Falcao,co COL,FW,28.0,26,1287.0,4.0,4.0,8.0,0.0
Jonny Evans,nir NIR,DF,26.0,14,1090.0,0.0,0.0,0.0,0.0
Paddy McNair,nir NIR,"DF,MF",19.0,16,1027.0,0.0,0.0,0.0,0.0
Adnan Januzaj,be BEL,"FW,MF",19.0,18,856.0,0.0,0.0,0.0,0.0
Tyler Blackett,eng ENG,DF,20.0,11,654.0,0.0,0.0,0.0,0.0
Rafael,br BRA,"DF,MF",24.0,10,592.0,0.0,0.0,0.0,0.0
Darren Fletcher,sct SCO,MF,30.0,11,369.0,0.0,0.0,0.0,0.0
James Wilson,eng ENG,"FW,MF",18.0,13,357.0,1.0,0.0,1.0,0.0
Víctor Valdés,es ESP,GK,32.0,2,107.0,0.0,0.0,0.0,0.0
Tom Cleverley,eng ENG,MF,24.0,1,90.0,0.0,0.0,0.0,0.0
Javier Hernández,mx MEX,FW,26.0,1,45.0,0.0,0.0,0.0,0.0
Jesse Lingard,eng ENG,"FW,MF",21.0,1,23.0,0.0,0.0,0.0,0.0
Michael Keane,eng ENG,DF,21.0,1,47.0,0.0,0.0,0.0,0.0
Danny Welbeck,eng ENG,"FW,MF",23.0,2,46.0,0.0,0.0,0.0,0.0
Nani,pt POR,"FW,MF",27.0,1,45.0,0.0,0.0,0.0,0.0
Anderson,br BRA,MF,26.0,1,21.0,0.0,0.0,0.0,0.0
Andreas Pereira,br BRA,MF,18.0,1,14.0,0.0,0.0,0.0,0.0
Tom Thorpe,eng ENG,DF,21.0,1,1.0,0.0,0.0,0.0,0.0
Ben Amos,eng ENG,GK,24.0,0,,,,,
Reece James,eng ENG,"DF,MF",20.0,0,,,,,
Shinji Kagawa,jp JPN,"FW,MF",25.0,0,,,,,
Will Keane,ie IRL,"FW,MF",21.0,0,,,,,
Anders Lindegaard,dk DEN,GK,30.0,0,,,,,
Marnick Vermijl,be BEL,DF,22.0,0,,,,,
Squad Total,,,26.0,38,3420.0,60.0,41.0,101.0,3.0
Opponent Total,,,27.0,38,3420.0,36.0,25.0,61.0,3.0
