Player,Nation,Pos,Age,MP,Min,Gls,Ast,G+A,PK
Rio Ferdinand,eng ENG,DF,27.0,33,2926,1.0,0.0,1.0,0.0
Wayne Rooney,eng ENG,"FW,MF",20.0,35,2923,14.0,11.0,25.0,0.0
Edwin van der Sar,nl NED,GK,35.0,32,2880,0.0,0.0,0.0,0.0
Cristiano Ronaldo,pt POR,"FW,MF",21.0,34,2781,17.0,8.0,25.0,3.0
Paul Scholes,eng ENG,MF,31.0,30,2593,6.0,1.0,7.0,0.0
Michael Carrick,eng ENG,MF,25.0,33,2506,3.0,3.0,6.0,0.0
Ryan Giggs,wls WAL,"FW,MF",32.0,30,2302,4.0,7.0,11.0,0.0
Nemanja Vidić,rs SRB,DF,24.0,25,2142,3.0,0.0,3.0,0.0
Gary Neville,eng ENG,DF,31.0,24,1980,0.0,3.0,3.0,0.0
Patrice Evra,fr FRA,DF,25.0,24,1859,1.0,2.0,3.0,0.0
Louis Saha,fr FRA,FW,27.0,24,1628,8.0,4.0,12.0,2.0
Wes Brown,eng ENG,DF,26.0,22,1601,0.0,2.0,2.0,0.0
Gabriel Heinze,ar ARG,DF,28.0,22,1506,0.0,0.0,0.0,0.0
John O'Shea,ie IRL,"DF,MF",25.0,32,1738,4.0,1.0,5.0,0.0
Darren Fletcher,sct SCO,MF,22.0,24,1428,3.0,1.0,4.0,0.0
Ole Gunnar Solskjær,no NOR,FW,33.0,19,925,7.0,0.0,7.0,0.0
Kieran Richardson,eng ENG,"DF,MF",21.0,15,780,1.0,0.0,1.0,0.0
Park Ji-sung,kr KOR,MF,25.0,14,772,5.0,2.0,7.0,0.0
Mikaël Silvestre,fr FRA,DF,28.0,14,606,1.0,1.0,2.0,0.0
Tomasz Kuszczak,pl POL,GK,24.0,6,540,0.0,0.0,0.0,0.0
Alan Smith,eng ENG,"FW,MF",25.0,9,479,0.0,1.0,1.0,0.0
Henrik Larsson,se SWE,FW,34.0,7,460,1.0,0.0,1.0,0.0
Chris Eagles,eng ENG,MF,20.0,2,93,1.0,0.0,1.0,0.0
Kieran Lee,eng ENG,"DF,MF",18.0,1,90,0.0,0.0,0.0,0.0
Dong Fangzhuo,cn CHN,FW,21.0,1,73,0.0,0.0,0.0,0.0
Squad Total,,,27.3,38,3420,80.0,60.0,140.0,5.0
Opponent Total,,,26.3,38,3420,,,,
