Player,Nation,Pos,Age,MP,Min,Gls,Ast,G+A,PK
Mikaël Silvestre,fr FRA,DF,25.0,34,2848,0.0,1.0,1.0,0.0
Tim Howard,us USA,GK,24.0,32,2880,0.0,1.0,1.0,0.0
John O'Shea,ie IRL,"DF,MF",22.0,33,2817,2.0,0.0,2.0,0.0
Ruud van Nistelrooy,nl NED,FW,27.0,32,2753,20.0,2.0,22.0,1.0
Gary Neville,eng ENG,DF,28.0,30,2689,2.0,3.0,5.0,0.0
Ryan Giggs,wls WAL,"FW,MF",29.0,33,2536,7.0,11.0,18.0,0.0
Phil Neville,eng ENG,"DF,MF",26.0,31,2504,0.0,2.0,2.0,0.0
Roy Keane,ie IRL,MF,31.0,28,2196,3.0,3.0,6.0,0.0
Paul Scholes,eng ENG,MF,28.0,28,2187,9.0,3.0,12.0,0.0
Rio Ferdinand,eng ENG,DF,24.0,20,1760,0.0,1.0,1.0,0.0
Quinton Fortune,za RSA,MF,26.0,23,1623,0.0,2.0,2.0,0.0
Darren Fletcher,sct SCO,MF,19.0,22,1454,0.0,1.0,1.0,0.0
Cristiano Ronaldo,pt POR,"FW,MF",18.0,29,1555,4.0,4.0,8.0,0.0
Wes Brown,eng ENG,DF,23.0,17,1411,0.0,1.0,1.0,0.0
Nicky Butt,eng ENG,"DF,MF",28.0,21,1106,1.0,0.0,1.0,0.0
Diego Forlán,uy URU,"FW,MF",24.0,24,1069,4.0,4.0,8.0,0.0
Eric Djemba-Djemba,cm CMR,MF,22.0,15,882,0.0,1.0,1.0,0.0
José Kléberson,br BRA,MF,24.0,12,791,2.0,3.0,5.0,0.0
Louis Saha,fr FRA,FW,24.0,12,862,7.0,2.0,9.0,
Ole Gunnar Solskjær,no NOR,FW,30.0,13,652,0.0,2.0,2.0,0.0
Roy Carroll,nir NIR,GK,25.0,6,540,0.0,0.0,0.0,0.0
David Bellion,fr FRA,FW,20.0,14,457,2.0,1.0,3.0,0.0
Squad Total,,,25.8,38,3420,63.0,54.0,117.0,1.0
Opponent Total,,,27.3,38,3420,,,,
